iter	RMSE
0	3978.216074
1	3739.35139
2	3508.99616
3	3305.494019
4	3133.825849
5	2981.458764
6	2851.552989
7	2735.219208
8	2627.714408
9	2533.8492
10	2444.662666
11	2372.2656
12	2305.984002
13	2263.624041
14	2211.220876
15	2168.578095
16	2119.424286
17	2086.938009
18	2052.307195
19	2026.374675
20	1995.916282
21	1974.369735
22	1953.481072
23	1930.583821
24	1909.955
25	1894.48065
26	1879.353123
27	1867.440628
28	1851.44396
29	1848.849807
30	1834.892138
31	1823.101045
32	1809.291442
33	1799.494108
34	1788.495457
35	1781.847354
36	1771.693829
37	1753.663705
38	1746.927939
39	1739.332109
40	1732.869228
41	1725.275848
42	1712.192525
43	1704.541786
44	1699.642263
45	1691.462293
46	1680.681669
47	1680.381616
48	1677.036517
49	1673.316388
50	1668.846032
51	1662.765866
52	1652.931822
53	1644.634083
54	1637.777065
55	1634.026863
56	1624.529385
57	1618.488988
58	1609.931746
59	1603.692575
60	1598.615181
61	1590.080836
62	1584.158347
63	1582.447104
64	1574.726878
65	1567.671968
66	1563.342098
67	1559.349093
68	1556.143058
69	1553.711926
70	1549.369433
71	1544.921025
72	1535.682077
73	1531.443353
74	1525.593557
75	1522.694438
76	1519.892309
77	1515.211417
78	1512.192535
79	1508.154049
80	1506.103819
81	1500.02122
82	1496.051634
83	1491.934476
84	1488.711604
85	1485.957022
86	1481.150189
87	1479.339342
88	1477.346089
89	1473.234884
90	1465.760638
91	1461.610023
92	1456.175436
93	1453.902867
94	1450.688491
95	1449.379513
96	1449.272742
97	1444.960433
98	1441.825969
99	1440.761651
