iter	Passed	Remaining
0	5	528
1	9	465
2	13	423
3	16	400
4	20	383
5	23	369
6	25	335
7	28	329
8	32	325
9	35	321
10	39	319
11	43	316
12	46	312
13	49	306
14	53	301
15	56	296
16	59	291
17	64	294
18	68	290
19	71	285
20	74	280
21	78	278
22	83	279
23	87	276
24	90	272
25	94	269
26	98	266
27	102	263
28	106	259
29	107	251
30	111	247
31	114	242
32	117	239
33	121	236
34	125	232
35	129	229
36	132	225
37	135	221
38	139	218
39	142	214
40	146	210
41	149	206
42	152	202
43	155	198
44	158	193
45	161	189
46	164	185
47	165	179
48	168	175
49	173	173
50	176	169
51	180	166
52	183	162
53	187	159
54	192	157
55	195	153
56	199	150
57	202	146
58	206	143
59	210	140
60	213	136
61	217	133
62	221	130
63	225	126
64	228	123
65	232	119
66	236	116
67	241	113
68	246	110
69	249	107
70	253	103
71	257	100
72	261	96
73	265	93
74	269	89
75	273	86
76	277	82
77	281	79
78	285	75
79	289	72
80	292	68
81	297	65
82	301	61
83	305	58
84	309	54
85	314	51
86	318	47
87	322	43
88	327	40
89	331	36
90	336	33
91	340	29
92	344	25
93	349	22
94	353	18
95	357	14
96	359	11
97	363	7
98	367	3
99	372	0
